Alemania,120.3,143.7,94.8,326.9,685.7,114.1,-2.8,91.9,94.4,297.6,102.3,318.5,183.6,126.8,731.2,82.8,233.1,219,181.7,716.5,164.6,244.4,61.7,14.6,485.4,203.5,84.6,74,87.9,450.1,45.1,122.6,42.3,168,378,126.8,142.9,116.4,122.2,508.3,82.1,71.6,192.1,377.4,723.2,80.2,196.2,162.6,258,697,122,162.3,48.7,-69.8,263.3,299.6,-13,46.6,273,606.2,121.9,422.8,347.2,-37.9,854.1,565.8,294.5,128.7,180.6,1169.7,887.4,417.8,226.6,451.6,1983.5,470,505.3,518.8,654.7,2148.8,134.5,289.6,299.9,515.5,1239.5,904.9,566.5,601.2,695.5,2768,953.6,303.2,452.4,934.1,2643.3,290.2,1271.4,759.2,615.8,2936.5,826.5,656.4,1330.4,682.9,3496.3,709.8,555.7,-546.6,444.8,1163.7,521.5,722.5,275.4,553.8,2073.2,531.4,297.7,229,-842.8,215.2,29234.2
"22 Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,C,0,0,0,0,0,0,0,C,0,0,0,0,0,0.3,0.3,C,C,0,C,0.4,0,0,0,0,0,0,C,C,0,C,4.6,0.3,1,0.4,6.4,12.8,6,0,0,18.8,-1.4,0,C,C,-0.9,0,0,0,C,C,C,C,0,C,0,C,C,C,C,C,C,-3.7,-14.1,4.6,-7.6,C,C,C,C,C,23
"221 Generación, transmisión y distribución de energía eléctrica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,C,0,0,0,0,0,0,0,C,0,0,0,0,0,0.3,0.3,C,0,0,C,0.4,0,0,0,0,0,0,C,C,0,C,4.6,0.3,1,0.4,6.4,12.8,6,0,0,18.8,C,0,C,C,-0.9,0,0,0,C,C,0,C,0,C,C,C,C,C,C,C,C,-3.7,-14.1,4.6,-7.6,C,C,C,C,C,23
"2211 Generación, transmisión y distribución de energía eléctrica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,C,0,0,0,0,0,0,0,C,0,0,0,0,0,0.3,0.3,C,0,0,C,0.4,0,0,0,0,0,0,C,C,0,C,4.6,0.3,1,0.4,6.4,12.8,6,0,0,18.8,C,0,C,C,-0.9,0,0,0,C,C,0,C,0,C,C,C,C,C,C,C,C,-3.7,-14.1,4.6,-7.6,C,C,C,C,C,23
222 Suministro de agua y suministro de gas por ductos al consumidor final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,0,C,0,0,0,0,0,C,0,0,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2221 Captación, tratamiento y suministro de agua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,0,C,0,0,0,0,0,C,0,0,0,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23 Construcción,13.2,-5.1,30.4,23.4,62,-44.3,C,0.3,-6.3,-47.4,C,C,C,C,-3.4,C,0.2,C,C,2.9,C,0,0.2,C,4.5,0,C,C,C,0.4,0,0,C,C,C,0,C,C,C,14.9,C,C,C,141.8,173.4,0,15.4,C,C,15.5,C,0,-13.8,0,-17.3,C,C,C,0,-9.8,C,C,0,0,C,C,C,C,C,9.8,C,0,0,C,-22.3,2.4,C,C,74.4,54.1,C,C,0,C,23.6,-11.6,C,C,C,82.7,C,C,7.3,C,17.9,C,C,-20.2,C,19.6,2.4,C,C,8.6,20,C,-20,-43.4,-15.7,-87.8,0,2.3,0,C,-8.4,C,C,C,C,-17.3,287.5
236 Edificación,C,C,C,C,-13,C,C,C,C,-1.5,C,C,0,C,-3.7,C,C,C,C,2.8,C,0,C,C,C,0,0,C,0,C,0,0,C,C,C,0,C,0,0,C,0,0,C,0,C,0,C,0,0,C,C,0,0,0,C,C,0,0,0,C,C,0,0,0,C,0,C,0,0,C,0,0,0,0,0,C,C,C,C,-39.3,C,0,C,C,C,C,0,C,0,C,C,C,C,C,C,C,C,C,C,-6.2,0,0,C,C,C,C,C,C,C,-32.9,0,2.3,0,C,-8.4,C,C,0,C,C,-76.7
2361 Edificación residencial,C,C,C,C,C,C,C,C,C,-1.5,0,C,0,C,C,C,C,C,C,C,0,0,0,C,C,0,0,C,0,C,0,0,C,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,0,0,0,0,0,0,0,0,C,C,0,C,0,0,C,0,0,0,0,0,-15.7
2362 Edificación no residencial,0,0,C,0,C,0,0,0,0,0,C,0,0,0,C,0,0,C,0,C,C,0,C,0,C,0,0,0,0,0,0,0,0,0,0,0,C,0,0,C,0,0,C,0,C,0,C,0,0,C,C,0,0,0,C,C,0,0,0,C,C,0,0,0,C,0,C,0,0,C,0,0,0,0,0,C,C,C,C,-39.3,C,0,C,C,C,C,0,C,0,C,C,C,C,C,C,C,C,C,0,C,0,0,C,C,C,C,C,C,C,C,0,C,0,C,C,C,C,0,C,C,-61
237 Construcción de obras de ingeniería civil,0,C,C,15,39.8,C,C,C,C,C,C,C,C,C,0.3,0,0,0,0,0,0,0,C,0,C,0,0,C,0,C,0,0,0,0,0,0,0,0,C,C,C,C,C,C,173.4,0,C,0,0,C,0,0,-13.8,0,-13.8,0,C,C,0,-13.3,0,C,0,0,C,C,C,C,0,C,C,0,0,C,C,C,0,C,C,C,0,0,C,0,C,C,0,0,C,103,C,0,C,0,C,C,C,C,C,C,C,C,C,C,C,0,C,-49.8,C,-54.9,0,0,0,0,0,0,0,C,0,C,325.8
